AsOf,p_5,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95,r_5,r_10,r_15,r_20,r_25,r_30,r_35,r_40,r_45,r_50,r_55,r_60,r_65,r_70,r_75,r_80,r_85,r_90,r_95,vol_5,vol_10,vol_15,vol_20,vol_25,vol_30,vol_35,vol_40,vol_45,vol_50,vol_55,vol_60,vol_65,vol_70,vol_75,vol_80,vol_85,vol_90,vol_95
2017-08-02,1.81656283312,3.1733791484099996,4.74401684272,6.39202408237,8.13608737069,9.90398733278,11.813710142,13.749815944100002,15.76185707,17.8200151265,20.0333318247,22.450470441700002,25.3392581477,28.358024713000002,31.3767912783,34.3955578435,37.4143244088,40.4330909741,43.451857539399995,196.73762725900002,130.312791973,95.74780920719999,75.4577018408,60.899534358900006,49.863895055600004,41.3280177145,34.128088684299996,28.3128765163,23.1740809927,18.9266416778,15.258480368099999,12.3285583339,9.59456657503,6.8605748162,4.1265830573699995,1.39259129854,0.0,0.0,0.65082238418,0.5584539300670001,0.513044356343,0.48430679352600003,0.459898411833,0.441037242962,0.4261746002699999,0.410488267685,0.395214129634,0.37996897712300004,0.3669213445310001,0.355433532946,0.34733958353600003,0.340263287352,0.333186991167,0.326110694983,0.31903439879900003,0.311958102615,0.304881806431
2017-08-03,1.8148928066799999,3.27308447929,4.88953516485,6.62164189297,8.383116094330001,10.1554548564,12.155242682599999,14.219345159500001,16.307625701099994,18.466994255899998,20.7357294508,23.1892089604,25.9041776702,29.159594859600002,32.5095030792,35.859411298699996,39.209319518200004,42.5592277377,45.9091359572,197.164917393,134.092299099,98.27261525459998,77.9108190233,62.6420291308,51.1690273113,42.5234024883,35.3719944926,29.172181855300003,23.9339335529,19.5353736977,15.7743777628,12.5057378337,9.88108452085,7.36107634748,4.84106817411,2.32106000074,0.11832949965,0.0,0.651328492622,0.564548882505,0.517145155563,0.490774714865,0.465422963306,0.444669480023,0.4300037311300001,0.415841509232,0.401292181172,0.387030413965,0.37271942234399996,0.36025108706799996,0.349322379164,0.341572509997,0.334379688632,0.327186867266,0.319994045901,0.312801224535,0.30560840317
2017-08-07,1.8739535189200005,3.41106858519,5.08395944039,6.89853644236,8.804064161760003,10.6959807548,12.7628696629,14.8851565221,17.1652665166,19.4846734282,21.8369253933,24.3115080761,27.000032313000002,30.1626291547,33.8253319798,37.488034804899996,41.150737630100004,44.8134404552,48.4761432803,203.005834838,142.23608456600002,102.855721262,81.97229922609999,66.3189984532,54.1212271609,44.8139180878,37.1677870264,30.811470651,25.4419653854,20.679953236,16.5738718812,13.1550071358,10.214668185199999,7.769211996739999,5.32375580832,2.8782996199,0.432843431476,0.0,0.66577821531,0.583892392763,0.5309309233730001,0.506785603587,0.482867130612,0.462057951499,0.445819606966,0.43163136418799997,0.41802013419,0.403584344497,0.38820068364699994,0.373601286395,0.36023840453,0.3493556725020001,0.341101424521,0.332847176541,0.324592928561,0.31633868058000003,0.3080844326
2017-08-08,1.8236442333099998,3.6532492712,5.3797012208599995,7.26688702636,9.32887975751,11.4211216251,13.5730822843,15.8279455807,18.274879841500002,20.759835965,23.2934561294,25.892492099699997,28.6689554432,31.828671691,35.5528249395,39.8289544811,44.1050840226,48.3812135642,52.6573431058,206.51500106700001,153.82268185,110.07405343799999,86.25824751479998,70.7613135509,58.123168428599996,47.9064974085,39.7783815359,32.9530071239,27.221984176,22.2060360267,17.8224127511,13.9894705685,10.8608834105,8.16913586217,5.899139363430001,3.6291428647000004,1.35914636596,0.0,0.681319813986,0.6103115704640001,0.549228848593,0.518962083825,0.500746216361,0.481673599581,0.462651573639,0.447686905303,0.43450443127099997,0.42153116188900003,0.406297863074,0.390013737165,0.374327133292,0.36067168652500003,0.34939527966899997,0.340478654803,0.331562029937,0.32264540507100004,0.313728780205
2017-08-09,2.1783515051199998,3.900891687180002,5.657321799319999,7.57752749623,9.76685174498,11.9519232702,14.2252596006,16.5802261662,19.0472006201,21.747221509299997,24.4801499973,27.2415276334,30.0690755724,33.4085013696,37.1531760491,41.717497199099995,46.281818349,50.846139498999996,55.410460648999994,211.910683708,162.413775807,117.408487529,91.2459864441,74.7612188913,61.405896467299996,50.5497871066,41.7783477139,34.6535016064,28.7458079127,23.4596657375,18.870331069000002,14.757733267599999,11.5391266655,8.62715111898,6.24300141634,3.8588517137,1.47470201106,0.0,0.703471249364,0.6367543112690001,0.574499363888,0.53990583008,0.522264522769,0.501756489763,0.482725154735,0.46676460617,0.452798120395,0.440196474322,0.42542324120999997,0.409205138117,0.39230503872100003,0.377867976861,0.365096747834,0.355677403814,0.346258059795,0.336838715775,0.327419371755
2017-08-10,2.07458907948,4.16262993196,6.2506707844500005,8.30106194383,10.5874859988,13.0324255819,15.5548053161,18.1286158666,20.801179017,23.724942035500003,26.898991146700002,30.0874848898,33.3466594552,36.723438423699996,40.7482296246,45.39146146149999,51.0612158638,56.73097026600001,62.4007246683,215.512551861,174.14490448,132.77725709999999,100.934281633,81.4459438013,67.7937958763,56.1221530812,46.2409314742,38.243970830500004,31.600237801,26.0158649839,21.0411762266,16.6463926588,12.6924187568,9.58250416972,6.83570301184,4.5746297495,2.31355648715,0.0524832248095,0.728781811009,0.6734462419410001,0.6181106728719999,0.572621064586,0.547987535101,0.533493604945,0.515690616206,0.497348947548,0.481907588032,0.46795486849,0.45580711179300004,0.44127624971,0.42485726828599996,0.407015747215,0.39129561300899995,0.377423308927,0.3665839166400001,0.355744524353,0.34490513206600004
2017-08-11,2.1107842989099996,4.12604624112,6.13955343709,8.17946426294,10.4094197424,12.843008243800002,15.3484253191,17.8282884601,20.536508275,23.3912088887,26.4570679931,29.5527023877,32.7853938887,36.201280482,40.0952563937,44.870970719,50.21701486590001,55.5630590128,60.9091031597,216.558340048,172.812102365,129.23955058200002,99.0154557706,80.2258687611,66.55579354390001,55.2045560159,45.574288260799996,37.712912132,31.0916467158,25.5671792529,20.6419355652,16.358741273099998,12.5247406507,9.39406033833,6.7636999005,4.44091048628,2.1181210720599997,0.0,0.7259979205470001,0.6678026705,0.609860709056,0.566950482252,0.544070983714,0.528278977497,0.5118877159849999,0.493290719274,0.47813157995800004,0.4645715782280001,0.4523740773800001,0.437074969586,0.420150999704,0.402945065048,0.38766207300300004,0.37527629389899997,0.36475563358199997,0.354234973265,0.343714312949
2017-08-14,2.29713593221,3.8864066423400003,5.5851254627600015,7.55465200913,9.68699116479,11.9242168844,14.0629397278,16.366600127,18.8285074666,21.453861306700002,24.0454816873,26.6969784325,29.546527905999998,32.7624134109,36.662679827699996,40.9958047013,45.328929574899995,49.6620544485,53.9951793221,218.441949578,163.217434976,116.563793247,90.6732021281,74.2181004935,61.007191119,50.1582988588,41.4835998962,34.339390962399996,28.2687024654,22.9722990586,18.4779965355,14.5117821629,11.247947596400001,8.50941326796,6.0914944813600025,3.6735756947600002,1.25565690815,0.0,0.710670347455,0.639052071174,0.575451143641,0.540732733823,0.522210832817,0.503114183371,0.482338211558,0.465420937454,0.450669095463,0.437185929534,0.42129924886299996,0.40390989813,0.38747475859999997,0.373407718828,0.362305035721,0.35308134826,0.343857660798,0.334633973337,0.325410285875
2017-08-15,1.9367478458,3.7888456130300003,5.5938297214600015,7.557118152789999,9.67071449718,11.807612775,13.992922224,16.243290241300002,18.579245235,21.1103496458,23.764428698899998,26.4204069448,29.1529005817,32.3607693781,36.0301010121,40.450893123200004,44.8716852343,49.292477345500004,53.713269456599996,217.00478674099998,161.486321946,115.368184002,89.8605172888,73.63726747369998,60.6143213693,49.716565219399996,40.9675247102,33.7779790506,27.7613354919,22.6559553998,18.2344578328,14.2327615479,11.0953702677,8.28918571612,6.00270047707,3.7162152380199998,1.42972999897,0.0,0.7044378552480001,0.632663217315,0.569681000276,0.535806358548,0.517618574788,0.49913780465,0.47785879375600004,0.459300967853,0.443181235656,0.429259238948,0.41391845936300004,0.3973129990330001,0.38064941878200004,0.366883743937,0.35486335703599997,0.34568569953,0.336508042024,0.327330384518,0.31815272701200004
2017-08-16,1.97095591431,3.71639513387,5.40037830352,7.3381510703199995,9.36561273245,11.4864532078,13.6097451604,15.7173332722,18.0760989201,20.530049351,23.015338594299998,25.5035776547,28.330014639499996,31.373367972199997,35.2822301641,39.3519767233,43.42172328260001,47.491469841800004,51.5612164011,216.781229973,156.02277117100002,111.304700525,88.09364168040001,71.566725724,58.68816435270001,48.0183741475,39.5151466015,32.7790434056,27.0068358915,21.894548637800003,17.546847136500002,13.904586273800001,10.6938224845,8.19632410142,5.822454978940001,3.44858585646,1.07471673399,0.0,0.699284151262,0.621258716423,0.559631221002,0.532072686335,0.510781009769,0.490725822178,0.469783751985,0.45127443827,0.43665680044,0.421869907574,0.406111256574,0.388955369568,0.37400236982199997,0.36043522193899996,0.35085983461599995,0.342029280225,0.333198725834,0.324368171443,0.315537617052
